v:0.011000 vpre: 0.000000 vdlt:0.011000 stdvdlt:0.024000, rs:-0.013000
v:7.014900 vpre: 6.976400 vdlt:0.038500 stdvdlt:0.024000, rs:0.014500
v:7.080800 vpre: 7.042300 vdlt:0.038500 stdvdlt:0.024000, rs:0.014500
v:12.716900 vpre: 12.678400 vdlt:0.038500 stdvdlt:0.024000, rs:0.014500
v:16.194099 vpre: 16.155600 vdlt:0.038500 stdvdlt:0.024000, rs:0.014500
v:16.875299 vpre: 16.836800 vdlt:0.038500 stdvdlt:0.024000, rs:0.014500
v:19.006599 vpre: 18.968201 vdlt:0.038399 stdvdlt:0.024000, rs:0.014399
v:26.779600 vpre: 26.741100 vdlt:0.038500 stdvdlt:0.024000, rs:0.014500
v:28.185900 vpre: 28.147400 vdlt:0.038500 stdvdlt:0.024000, rs:0.014500
v:32.349701 vpre: 32.311298 vdlt:0.038403 stdvdlt:0.024000, rs:0.014403
v:33.080299 vpre: 33.041901 vdlt:0.038399 stdvdlt:0.024000, rs:0.014399
v:35.925800 vpre: 35.887402 vdlt:0.038399 stdvdlt:0.024000, rs:0.014399
v:36.546600 vpre: 36.508099 vdlt:0.038502 stdvdlt:0.024000, rs:0.014502
v:38.743900 vpre: 38.705399 vdlt:0.038502 stdvdlt:0.024000, rs:0.014502
v:42.896801 vpre: 42.858299 vdlt:0.038502 stdvdlt:0.024000, rs:0.014502
v:42.962700 vpre: 42.924198 vdlt:0.038502 stdvdlt:0.024000, rs:0.014502
v:45.055599 vpre: 45.017200 vdlt:0.038399 stdvdlt:0.024000, rs:0.014399
v:47.873699 vpre: 47.835201 vdlt:0.038498 stdvdlt:0.024000, rs:0.014498
v:51.323399 vpre: 51.285000 vdlt:0.038399 stdvdlt:0.024000, rs:0.014399
v:55.542198 vpre: 55.503799 vdlt:0.038399 stdvdlt:0.024000, rs:0.014399
v:57.321999 vpre: 57.283600 vdlt:0.038399 stdvdlt:0.024000, rs:0.014399
v:57.668098 vpre: 57.629700 vdlt:0.038399 stdvdlt:0.024000, rs:0.014399
v:57.734001 vpre: 57.695599 vdlt:0.038403 stdvdlt:0.024000, rs:0.014403
